Epoch:124 | Cross Entropy Error: 0.1761862262519163 | Accuacy: 94.96333333333334%
Epoch:125 | Cross Entropy Error: 0.17542693750982108 | Accuacy: 94.98333333333333%
Epoch:126 | Cross Entropy Error: 0.17467471586845415 | Accuacy: 95.01666666666667%
Epoch:127 | Cross Entropy Error: 0.17392935735022455 | Accuacy: 95.03333333333333%
Epoch:128 | Cross Entropy Error: 0.17319087150557466 | Accuacy: 95.05%
Epoch:129 | Cross Entropy Error: 0.17245914850131736 | Accuacy: 95.06833333333333%
Epoch:130 | Cross Entropy Error: 0.17173390659113563 | Accuacy: 95.09%
Epoch:131 | Cross Entropy Error: 0.17101483904080558 | Accuacy: 95.11166666666668%
Epoch:132 | Cross Entropy Error: 0.17030210793070052 | Accuacy: 95.13333333333334%
Epoch:133 | Cross Entropy Error: 0.16959575417554237 | Accuacy: 95.15%
Epoch:134 | Cross Entropy Error: 0.16889557505783628 | Accuacy: 95.16666666666667%
Epoch:135 | Cross Entropy Error: 0.1682010647060646 | Accuacy: 95.18833333333333%
Epoch:136 | Cross Entropy Error: 0.16751216227076113 | Accuacy: 95.21%
Epoch:137 | Cross Entropy Error: 0.16682924020246875 | Accuacy: 95.22666666666667%
Epoch:138 | Cross Entropy Error: 0.16615216412889208 | Accuacy: 95.23666666666666%
Epoch:139 | Cross Entropy Error: 0.16548107410879223 | Accuacy: 95.255%
Epoch:140 | Cross Entropy Error: 0.1648157331579251 | Accuacy: 95.27833333333334%
Epoch:141 | Cross Entropy Error: 0.16415569121539772 | Accuacy: 95.30333333333333%
Epoch:142 | Cross Entropy Error: 0.16350083594663553 | Accuacy: 95.325%
Epoch:143 | Cross Entropy Error: 0.1628513481933876 | Accuacy: 95.34333333333333%
Epoch:144 | Cross Entropy Error: 0.16220696046351896 | Accuacy: 95.37166666666667%
Epoch:145 | Cross Entropy Error: 0.16156720244366352 | Accuacy: 95.38499999999999%
Epoch:146 | Cross Entropy Error: 0.160932315369215 | Accuacy: 95.40166666666666%
Epoch:147 | Cross Entropy Error: 0.1603025556848322 | Accuacy: 95.41333333333334%
Epoch:148 | Cross Entropy Error: 0.15967784912123636 | Accuacy: 95.44666666666667%
Epoch:149 | Cross Entropy Error: 0.15905842655272442 | Accuacy: 95.46%
Epoch:150 | Cross Entropy Error: 0.15844380656959758 | Accuacy: 95.475%
Epoch:151 | Cross Entropy Error: 0.15783375856677823 | Accuacy: 95.48666666666666%
Epoch:152 | Cross Entropy Error: 0.15722841287134204 | Accuacy: 95.5%
Epoch:153 | Cross Entropy Error: 0.1566276728800022 | Accuacy: 95.52000000000001%
Epoch:154 | Cross Entropy Error: 0.15603111326339367 | Accuacy: 95.55%
Epoch:155 | Cross Entropy Error: 0.15543882122559366 | Accuacy: 95.56%
Epoch:156 | Cross Entropy Error: 0.15485123499897685 | Accuacy: 95.58166666666666%
Epoch:157 | Cross Entropy Error: 0.15426852324079085 | Accuacy: 95.6%
Epoch:158 | Cross Entropy Error: 0.15369005766850935 | Accuacy: 95.61%
Epoch:159 | Cross Entropy Error: 0.15311551089500502 | Accuacy: 95.62666666666667%
Epoch:160 | Cross Entropy Error: 0.15254512387625113 | Accuacy: 95.64166666666667%
Epoch:161 | Cross Entropy Error: 0.15197894815547555 | Accuacy: 95.65333333333334%
Epoch:162 | Cross Entropy Error: 0.15141653898223556 | Accuacy: 95.66833333333334%
Epoch:163 | Cross Entropy Error: 0.15085777148611518 | Accuacy: 95.69333333333333%
Epoch:164 | Cross Entropy Error: 0.15030298097576233 | Accuacy: 95.70166666666667%
Epoch:165 | Cross Entropy Error: 0.14975180665742618 | Accuacy: 95.72166666666668%
Epoch:166 | Cross Entropy Error: 0.1492044842184637 | Accuacy: 95.745%
Epoch:167 | Cross Entropy Error: 0.14866094713527525 | Accuacy: 95.75666666666666%
Epoch:168 | Cross Entropy Error: 0.1481210087098117 | Accuacy: 95.77%
Epoch:169 | Cross Entropy Error: 0.1475849781088103 | Accuacy: 95.78666666666666%
Epoch:170 | Cross Entropy Error: 0.1470525108102985 | Accuacy: 95.80333333333333%
Epoch:171 | Cross Entropy Error: 0.14652372614369666 | Accuacy: 95.82333333333334%
Epoch:172 | Cross Entropy Error: 0.14599862647400072 | Accuacy: 95.84%
Epoch:173 | Cross Entropy Error: 0.14547722992753173 | Accuacy: 95.86%
Epoch:174 | Cross Entropy Error: 0.1449593042490839 | Accuacy: 95.87333333333333%
Epoch:175 | Cross Entropy Error: 0.14444461937695544 | Accuacy: 95.895%
Epoch:176 | Cross Entropy Error: 0.14393345241121663 | Accuacy: 95.89833333333333%
Epoch:177 | Cross Entropy Error: 0.14342597878031205 | Accuacy: 95.905%
Epoch:178 | Cross Entropy Error: 0.14292220134765113 | Accuacy: 95.93%
Epoch:179 | Cross Entropy Error: 0.14242208933922706 | Accuacy: 95.95166666666667%
Epoch:180 | Cross Entropy Error: 0.14192518135148416 | Accuacy: 95.96666666666667%
Epoch:181 | Cross Entropy Error: 0.14143137815138523 | Accuacy: 95.98333333333333%
Epoch:182 | Cross Entropy Error: 0.1409406812997871 | Accuacy: 95.99666666666667%
Epoch:183 | Cross Entropy Error: 0.14045302467374 | Accuacy: 96.01333333333332%
Epoch:184 | Cross Entropy Error: 0.13996856028142485 | Accuacy: 96.02000000000001%
Epoch:185 | Cross Entropy Error: 0.1394868997053326 | Accuacy: 96.03666666666668%
Epoch:186 | Cross Entropy Error: 0.13900803705786327 | Accuacy: 96.04666666666667%
Epoch:187 | Cross Entropy Error: 0.13853197063333195 | Accuacy: 96.05833333333334%
Epoch:188 | Cross Entropy Error: 0.1380587618660346 | Accuacy: 96.07666666666667%
Epoch:189 | Cross Entropy Error: 0.13758851266229255 | Accuacy: 96.09%
Epoch:190 | Cross Entropy Error: 0.1371212958351975 | Accuacy: 96.09333333333333%
Epoch:191 | Cross Entropy Error: 0.13665702524760123 | Accuacy: 96.11%
Epoch:192 | Cross Entropy Error: 0.13619564206788215 | Accuacy: 96.12333333333333%
Epoch:193 | Cross Entropy Error: 0.1357371339222794 | Accuacy: 96.13333333333334%
Epoch:194 | Cross Entropy Error: 0.13528155455722665 | Accuacy: 96.14833333333334%
Epoch:195 | Cross Entropy Error: 0.1348287585262121 | Accuacy: 96.16666666666667%
Epoch:196 | Cross Entropy Error: 0.1343786406775642 | Accuacy: 96.19166666666666%
Epoch:197 | Cross Entropy Error: 0.133931226559487 | Accuacy: 96.205%
Epoch:198 | Cross Entropy Error: 0.13348658138589772 | Accuacy: 96.21499999999999%
Epoch:199 | Cross Entropy Error: 0.1330444925277769 | Accuacy: 96.23%
Epoch:200 | Cross Entropy Error: 0.13260489729968664 | Accuacy: 96.245%
Epoch:201 | Cross Entropy Error: 0.13216803220076578 | Accuacy: 96.255%
Epoch:202 | Cross Entropy Error: 0.13173395076593722 | Accuacy: 96.27333333333333%
Epoch:203 | Cross Entropy Error: 0.13130254218917645 | Accuacy: 96.28999999999999%
Epoch:204 | Cross Entropy Error: 0.1308736392981473 | Accuacy: 96.3%
Epoch:205 | Cross Entropy Error: 0.13044715024206385 | Accuacy: 96.30833333333332%
Epoch:206 | Cross Entropy Error: 0.13002307117943723 | Accuacy: 96.32%
Epoch:207 | Cross Entropy Error: 0.12960132866775817 | Accuacy: 96.33%
Epoch:208 | Cross Entropy Error: 0.12918178181712794 | Accuacy: 96.34666666666666%
Epoch:209 | Cross Entropy Error: 0.1287644616874931 | Accuacy: 96.35333333333334%
Epoch:210 | Cross Entropy Error: 0.1283494644597869 | Accuacy: 96.37166666666667%
Epoch:211 | Cross Entropy Error: 0.12793655832888973 | Accuacy: 96.39%
Epoch:212 | Cross Entropy Error: 0.12752593391540365 | Accuacy: 96.40666666666667%
Epoch:213 | Cross Entropy Error: 0.12711771918451975 | Accuacy: 96.42166666666667%
Epoch:214 | Cross Entropy Error: 0.12671182101411338 | Accuacy: 96.43166666666667%
Epoch:215 | Cross Entropy Error: 0.1263084309984853 | Accuacy: 96.44166666666666%
Epoch:216 | Cross Entropy Error: 0.1259072696745671 | Accuacy: 96.455%
Epoch:217 | Cross Entropy Error: 0.12550831860362613 | Accuacy: 96.46666666666667%
Epoch:218 | Cross Entropy Error: 0.12511151781699897 | Accuacy: 96.475%
Epoch:219 | Cross Entropy Error: 0.12471707524405905 | Accuacy: 96.48666666666666%
Epoch:220 | Cross Entropy Error: 0.12432489899705895 | Accuacy: 96.49333333333333%
Epoch:221 | Cross Entropy Error: 0.1239350381221123 | Accuacy: 96.50166666666667%
Epoch:222 | Cross Entropy Error: 0.12354745838988022 | Accuacy: 96.51666666666667%
Epoch:223 | Cross Entropy Error: 0.12316206806057813 | Accuacy: 96.52333333333334%
Epoch:224 | Cross Entropy Error: 0.12277854950287442 | Accuacy: 96.53166666666667%
Epoch:225 | Cross Entropy Error: 0.12239695579446884 | Accuacy: 96.545%
Epoch:226 | Cross Entropy Error: 0.12201719550170816 | Accuacy: 96.56666666666666%
Epoch:227 | Cross Entropy Error: 0.1216394044524537 | Accuacy: 96.57833333333333%
Epoch:228 | Cross Entropy Error: 0.1212635715157247 | Accuacy: 96.58666666666666%
Epoch:229 | Cross Entropy Error: 0.12088966591813007 | Accuacy: 96.59666666666666%
Epoch:230 | Cross Entropy Error: 0.12051778868636663 | Accuacy: 96.60499999999999%
Epoch:231 | Cross Entropy Error: 0.12014786898171886 | Accuacy: 96.62166666666666%
Epoch:232 | Cross Entropy Error: 0.11977968430968072 | Accuacy: 96.63000000000001%
Epoch:233 | Cross Entropy Error: 0.11941328076228198 | Accuacy: 96.64166666666667%
Epoch:234 | Cross Entropy Error: 0.11904882336526315 | Accuacy: 96.65166666666667%
Epoch:235 | Cross Entropy Error: 0.11868613959373996 | Accuacy: 96.65166666666667%
Epoch:236 | Cross Entropy Error: 0.11832517412193708 | Accuacy: 96.66666666666667%
Epoch:237 | Cross Entropy Error: 0.11796594926134665 | Accuacy: 96.68166666666667%
Epoch:238 | Cross Entropy Error: 0.11760849283232289 | Accuacy: 96.68333333333334%
Epoch:239 | Cross Entropy Error: 0.11725262435000526 | Accuacy: 96.69333333333333%
Epoch:240 | Cross Entropy Error: 0.116898368549967 | Accuacy: 96.695%
