Epoch:152 | Cross Entropy Error: 0.2718013880181064 | Accuacy: 96.66666666666667%
Epoch:153 | Cross Entropy Error: 0.2704414349315576 | Accuacy: 96.66666666666667%
Epoch:154 | Cross Entropy Error: 0.2690902302512948 | Accuacy: 96.66666666666667%
Epoch:155 | Cross Entropy Error: 0.2677481471466122 | Accuacy: 96.66666666666667%
Epoch:156 | Cross Entropy Error: 0.2664154089635206 | Accuacy: 96.66666666666667%
Epoch:157 | Cross Entropy Error: 0.2650914570118179 | Accuacy: 96.66666666666667%
Epoch:158 | Cross Entropy Error: 0.2637744909924618 | Accuacy: 96.66666666666667%
Epoch:159 | Cross Entropy Error: 0.26246706078873294 | Accuacy: 96.66666666666667%
Epoch:160 | Cross Entropy Error: 0.2611687637774207 | Accuacy: 96.66666666666667%
Epoch:161 | Cross Entropy Error: 0.2598790040841271 | Accuacy: 96.66666666666667%
Epoch:162 | Cross Entropy Error: 0.25859719424751865 | Accuacy: 96.66666666666667%
Epoch:163 | Cross Entropy Error: 0.25732431852627013 | Accuacy: 96.66666666666667%
Epoch:164 | Cross Entropy Error: 0.2560592273176021 | Accuacy: 96.66666666666667%
Epoch:165 | Cross Entropy Error: 0.2547988262710644 | Accuacy: 96.66666666666667%
Epoch:166 | Cross Entropy Error: 0.2535454212129823 | Accuacy: 96.66666666666667%
Epoch:167 | Cross Entropy Error: 0.25229950129273504 | Accuacy: 96.66666666666667%
Epoch:168 | Cross Entropy Error: 0.25105575910184247 | Accuacy: 96.66666666666667%
Epoch:169 | Cross Entropy Error: 0.2498153666582479 | Accuacy: 96.66666666666667%
Epoch:170 | Cross Entropy Error: 0.24858015006981235 | Accuacy: 96.66666666666667%
Epoch:171 | Cross Entropy Error: 0.2473512533975521 | Accuacy: 96.66666666666667%
Epoch:172 | Cross Entropy Error: 0.2461309844213746 | Accuacy: 96.66666666666667%
Epoch:173 | Cross Entropy Error: 0.24491809944940743 | Accuacy: 96.66666666666667%
Epoch:174 | Cross Entropy Error: 0.243710177418644 | Accuacy: 96.66666666666667%
Epoch:175 | Cross Entropy Error: 0.24251002382584913 | Accuacy: 95.83333333333334%
Epoch:176 | Cross Entropy Error: 0.241317163834247 | Accuacy: 95.83333333333334%
Epoch:177 | Cross Entropy Error: 0.2401332065153453 | Accuacy: 95.83333333333334%
Epoch:178 | Cross Entropy Error: 0.23895723412676845 | Accuacy: 95.83333333333334%
Epoch:179 | Cross Entropy Error: 0.2377880710472067 | Accuacy: 95.83333333333334%
Epoch:180 | Cross Entropy Error: 0.23662525887677577 | Accuacy: 95.83333333333334%
Epoch:181 | Cross Entropy Error: 0.23546898509322087 | Accuacy: 95.83333333333334%
